HARGA;LT;LB;JKT;JKM;Kota;
3600000000;127;260;3;3;Bandung;
1900000000;106;150;3;2;Bandung;
1000000000;94;120;2;2;Bandung;
1950000000;138;120;3;2;Bandung;
1570000000;150;124;4;2;Bandung;
5000000000;214;250;2;3;Bandung;
2900000000;254;324;3;3;Bandung;
690000000;107;99;2;1;Bandung;
750000000;107;99;2;1;Bandung;
2200000000;91;167;4;4;Bandung;
1000000000;119;240;12;12;Bandung;
3700000000;311;265;5;2;Bandung;
3100000000;200;350;4;3;Bandung;
2400000000;313;400;3;1;Bandung;
11000000000;355;200;1;1;Bandung;
1600000000;130;110;3;2;Bandung;
950000000;128;100;4;2;Bandung;
560000000;55;70;2;1;Bandung;
38000000000;915;450;5;4;Bandung;
4500000000;120;250;6;5;Bandung;
1100000000;110;90;2;1;Bandung;
2500000000;212;238;4;3;Bandung;
875000000;122;110;3;1;Bandung;
5200000000;520;1060;23;5;Bandung;
7000000000;504;700;6;6;Bandung;
4200000000;217;200;4;3;Bandung;
12000000000;730;616;7;4;Bandung;
3500000000;311;264;3;2;Bandung;
1550000000;114;200;5;5;Bandung;
985000000;101;160;2;2;Bandung;
2500000000;96;192;4;3;Bandung;
1000000000;94;120;2;2;Bandung;
2000000000;210;200;3;2;Bandung;
3950000000;306;400;4;3;Bandung;
1000000000;94;120;2;2;Bandung;
625000000;44;88;1;1;Bandung;
5500000000;474;1000;43;12;Bandung;
4500000000;310;250;6;2;Bandung;
550000000;55;105;3;2;Bandung;
550000000;55;105;3;2;Bandung;
2170000000;157;252;20;20;Bandung;
1550000000;75;150;3;1;Bandung;
2500000000;96;192;4;3;Bandung;
550000000;55;105;3;2;Bandung;
550000000;55;105;3;2;Bandung;
550000000;55;105;3;2;Bandung;
3850000000;297;297;4;4;Bandung;
12000000000;305;500;4;3;Bandung;
650000000;107;99;2;1;Bandung;
1300000000;140;120;3;1;Bandung;
1300000000;140;120;3;1;Bandung;
1300000000;140;120;3;1;Bandung;
1300000000;140;120;3;1;Bandung;
1300000000;140;120;3;1;Bandung;
1300000000;140;120;3;1;Bandung;
1300000000;140;120;3;1;Bandung;
1300000000;140;120;3;1;Bandung;
1300000000;140;120;3;1;Bandung;
1450000000;101;160;2;2;Bandung;
2350000000;160;280;3;3;Bandung;
3700000000;311;265;5;2;Bandung;
4000000000;297;500;5;4;Bandung;
2150000000;233;326;24;8;Bandung;
2500000000;122;220;4;4;Bandung;
3950000000;178;300;2;2;Bandung;
1200000000;90;110;3;1;Bandung;
2500000000;91;200;4;3;Bandung;
850000000;103;80;5;1;Bandung;
10000000000;589;400;8;4;Bandung;
550000000;87;60;2;1;Bandung;
600000000;112;112;4;2;Bandung;
1500000000;144;160;3;2;Bandung;
12000000000;305;500;4;3;Bandung;
2350000000;212;235;4;3;Bandung;
1900000000;106;240;5;3;Bandung;
2850000000;233;326;24;8;Bandung;
6000000000;328;339;5;2;Bandung;
1750000000;129;110;3;2;Bandung;
1550000000;75;140;3;2;Bandung;
1600000000;75;200;3;2;Bandung;
75000000;85;120;3;3;Bandung;
2500000000;233;326;24;8;Bandung;
150000000;60;36;2;1;Bandung;
850000000;157;109;3;1;Bandung;
2850000000;233;326;24;8;Bandung;
3950000000;306;450;4;4;Bandung;
2850000000;200;150;3;3;Bandung;
1550000000;75;140;3;2;Bandung;
1550000000;75;140;3;2;Bandung;
2850000000;233;326;24;8;Bandung;
600000000;112;100;4;2;Bandung;
725000000;66;120;4;2;Bandung;
4100000000;180;300;4;4;Bandung;
450000000;120;80;2;1;Bandung;
500000000;79;80;2;1;Bandung;
850000000;97;80;2;2;Bandung;
1900000000;106;240;5;3;Bandung;
2150000000;59;200;4;2;Bandung;
1620000000;100;140;3;2;Bandung;
1700000000;108;175;3;2;Bandung;
2000000000;212;325;20;20;Bandung;
1900000000;170;400;17;2;Bandung;
1200000000;83;140;3;2;Bandung;
320000000;72;45;2;1;Bandung;
215000000;42;120;6;3;Bandung;
3000000000;255;500;4;4;Bandung;
2000000000;133;180;3;3;Bandung;
900000000;105;200;7;4;Bandung;
4500000000;240;300;5;5;Bandung;
3050000000;109;205;2;2;Bandung;
3000000000;169;270;3;2;Bandung;
3000000000;169;270;3;2;Bandung;
1850000000;116;80;0;0;Bandung;
4750000000;298;300;4;3;Bandung;
2100000000;96;266;4;5;Bandung;
800000000;50;85;4;1;Bandung;
1800000000;130;110;3;2;Bandung;
6000000000;298;300;11;3;Bandung;
2600000000;233;120;3;2;Bandung;
1800000000;130;110;3;2;Bandung;
1800000000;130;110;3;2;Bandung;
1100000000;84;200;4;3;Bandung;
750000000;65;195;3;2;Bandung;
12000000000;305;500;4;3;Bandung;
3000000000;122;220;5;5;Bandung;
3000000000;127;250;3;3;Bandung;
1600000000;181;68;2;1;Bandung;
9000000000;528;350;6;4;Bandung;
2300000000;134;200;4;3;Bandung;
550000000;75;75;3;1;Bandung;
4500000000;170;400;4;4;Bandung;
1500000000;118;160;3;1;Bandung;
2500000000;91;200;4;3;Bandung;
1650000000;75;140;3;2;Bandung;
1400000000;65;65;3;1;Bandung;
1900000000;106;204;5;3;Bandung;
4300000000;538;520;5;2;Bandung;
685000000;100;90;3;2;Bandung;
750000000;107;99;2;1;Bandung;
2350000000;160;280;3;2;Bandung;
2700000000;249;300;3;2;Bandung;
2200000000;142;284;6;5;Bandung;
1250000000;150;130;3;1;Bandung;
1900000000;102;240;5;2;Bandung;
2750000000;102;240;0;0;Bandung;
1950000000;142;120;3;2;Bandung;
750000000;154;90;6;5;Bandung;
2200000000;144;120;3;1;Bandung;
1500000000;65;65;3;1;Bandung;
1650000000;75;150;3;2;Bandung;
3700000000;150;200;3;2;Bandung;
2100000000;63;120;2;2;Bandung;
775000000;90;80;3;1;Bandung;
1200000000;86;125;4;4;Bandung;
3100000000;200;350;5;4;Bandung;
900000000;70;140;2;2;Bandung;
8800000000;670;630;5;4;Bandung;
5000000000;242;325;5;2;Bandung;
1500000000;96;120;2;2;Bandung;
3250000000;449;150;6;3;Bandung;
3000000000;108;330;4;4;Bandung;
3000000000;110;220;3;2;Bandung;
9000000000;800;200;4;2;Bandung;
1200000000;86;130;4;4;Bandung;
2500000000;96;192;4;3;Bandung;
750000000;105;130;2;2;Bandung;
3700000000;250;225;3;3;Bandung;
